stage,power_w,power_gw
incident_solar_power_w,13349138713.570204,13.349138713570204
space_dc_bus_power_w,4672198549.749571,4.672198549749571
emitted_rf_power_w,3270538984.8246994,3.2705389848246993
incident_rf_power_w,3205128205.1282053,3.2051282051282053
rectenna_dc_power_w,2083333333.3333335,2.0833333333333335
delivered_grid_ac_power_w,2000000000.0,2.0
