target_lcoe_gbp_per_mwh,progress_fraction,lcoe_gbp_per_mwh,computed_end_to_end_efficiency,status,solar_conversion_efficiency,dc_to_rf_efficiency,transmission_efficiency,rectenna_conversion_efficiency,grid_conversion_efficiency,capacity_factor,operating_lifetime_years,real_discount_rate,construction_duration_years,annual_output_degradation_fraction,system_specific_mass_kg_per_kw_delivered,space_generation_hardware_cost_gbp_per_w_dc,transmitter_cost_gbp_per_w_rf_emitted,launch_cost_gbp_per_kg_to_staging_orbit,orbit_transfer_cost_gbp_per_kg_final_hardware,in_orbit_assembly_cost_gbp_per_kg_operational_hardware,rectenna_cost_gbp_per_w_delivered,grid_connection_cost_gbp_per_kw_delivered,programme_contingency_fraction,space_hardware_replacement_rate_per_year,ground_hardware_replacement_rate_per_year,fixed_opex_fraction_of_eligible_assets_per_year,variable_opex_gbp_per_mwh,decommissioning_cost_fraction_initial_capex,residual_value_fraction_initial_capex
150,0,86.0297339990382,0.1498224,already feasible at slice baseline,0.35,0.7,0.98,0.65,0.96,0.9,30,0.065,4,0.005,5,0.4,0.1,500,100,200,0.15,100,0.2,0.006,0.003,0.01,3,0.02,0
120,0,86.0297339990382,0.1498224,already feasible at slice baseline,0.35,0.7,0.98,0.65,0.96,0.9,30,0.065,4,0.005,5,0.4,0.1,500,100,200,0.15,100,0.2,0.006,0.003,0.01,3,0.02,0
100,0,86.0297339990382,0.1498224,already feasible at slice baseline,0.35,0.7,0.98,0.65,0.96,0.9,30,0.065,4,0.005,5,0.4,0.1,500,100,200,0.15,100,0.2,0.006,0.003,0.01,3,0.02,0
80,0.0293063037238828,80,0.153605868445525,feasible,0.352930630372388,0.704395945558582,0.980439594555858,0.655861260744777,0.960879189111716,0.902344504297911,30,0.0639742793696641,4,0.00485346848138059,4.86812163324253,0.389742793696641,0.0976554957020894,485.932974212536,97.0693696276117,194.138739255223,0.146190180515895,97.6554957020894,0.194138739255223,0.0058241621776567,0.00291208108882835,0.00976554957020894,2.91208108882835,0.0194138739255223,0.00586126074477656
60,0.125,59.7219686880176,0.166421807624817,feasible,0.3625,0.71875,0.981875,0.675,0.96375,0.91,32,0.060625,3,0.004375,4.4375,0.35625,0.09,440,87.5,175,0.13375,90,0.175,0.00525,0.002625,0.009,2.625,0.0175,0.025
