parameter,display_name,target_lcoe_gbp_per_mwh,feasible,best_lcoe_in_range_gbp_per_mwh,threshold_value
orbit_transfer_cost_gbp_per_kg_final_hardware,Staging-to-operational-orbit transfer cost,80,True,78.4256193481657,20.7043255410894
orbit_transfer_cost_gbp_per_kg_final_hardware,Staging-to-operational-orbit transfer cost,60,False,78.4256193481657,
in_orbit_assembly_cost_gbp_per_kg_operational_hardware,In-orbit assembly and deployment cost,150,True,70.8215046972932,1041.25856773638
in_orbit_assembly_cost_gbp_per_kg_operational_hardware,In-orbit assembly and deployment cost,120,True,70.8215046972932,646.735321081254
in_orbit_assembly_cost_gbp_per_kg_operational_hardware,In-orbit assembly and deployment cost,100,True,70.8215046972932,383.719823311172
in_orbit_assembly_cost_gbp_per_kg_operational_hardware,In-orbit assembly and deployment cost,80,True,70.8215046972932,120.704325541089
in_orbit_assembly_cost_gbp_per_kg_operational_hardware,In-orbit assembly and deployment cost,60,False,70.8215046972932,
rectenna_cost_gbp_per_w_delivered,Rectenna cost,150,True,83.9313779039917,1
rectenna_cost_gbp_per_w_delivered,Rectenna cost,120,True,83.9313779039917,1
rectenna_cost_gbp_per_w_delivered,Rectenna cost,100,True,83.9313779039917,1
rectenna_cost_gbp_per_w_delivered,Rectenna cost,80,False,83.9313779039917,
rectenna_cost_gbp_per_w_delivered,Rectenna cost,60,False,83.9313779039917,
grid_connection_cost_gbp_per_kw_delivered,Grid connection cost,150,True,84.7384379405481,300
grid_connection_cost_gbp_per_kw_delivered,Grid connection cost,120,True,84.7384379405481,300
grid_connection_cost_gbp_per_kw_delivered,Grid connection cost,100,True,84.7384379405481,300
grid_connection_cost_gbp_per_kw_delivered,Grid connection cost,80,False,84.7384379405481,
grid_connection_cost_gbp_per_kw_delivered,Grid connection cost,60,False,84.7384379405481,
programme_contingency_fraction,Initial programme contingency,150,True,73.1870025188572,0.5
programme_contingency_fraction,Initial programme contingency,120,True,73.1870025188572,0.5
programme_contingency_fraction,Initial programme contingency,100,True,73.1870025188572,0.417559107616957
programme_contingency_fraction,Initial programme contingency,80,True,73.1870025188572,0.106098885453717
programme_contingency_fraction,Initial programme contingency,60,False,73.1870025188572,
space_hardware_replacement_rate_per_year,Space-hardware replacement rate,150,True,81.9529420782113,0.03
