x_parameter,x_value,y_parameter,y_value,lcoe_gbp_per_mwh
launch_cost_gbp_per_kg,5000.0,end_to_end_efficiency,0.05,7615.627575852847
launch_cost_gbp_per_kg,20.0,end_to_end_efficiency,0.05508474576271187,543.7125285607365
launch_cost_gbp_per_kg,104.40677966101696,end_to_end_efficiency,0.05508474576271187,651.6707682012083
launch_cost_gbp_per_kg,188.8135593220339,end_to_end_efficiency,0.05508474576271187,759.6290078416799
launch_cost_gbp_per_kg,273.22033898305085,end_to_end_efficiency,0.05508474576271187,867.5872474821517
launch_cost_gbp_per_kg,357.6271186440678,end_to_end_efficiency,0.05508474576271187,975.5454871226235
launch_cost_gbp_per_kg,442.0338983050848,end_to_end_efficiency,0.05508474576271187,1083.5037267630955
launch_cost_gbp_per_kg,526.4406779661017,end_to_end_efficiency,0.05508474576271187,1191.461966403567
launch_cost_gbp_per_kg,610.8474576271187,end_to_end_efficiency,0.05508474576271187,1299.4202060440389
launch_cost_gbp_per_kg,695.2542372881356,end_to_end_efficiency,0.05508474576271187,1407.3784456845108
launch_cost_gbp_per_kg,779.6610169491526,end_to_end_efficiency,0.05508474576271187,1515.3366853249827
launch_cost_gbp_per_kg,864.0677966101696,end_to_end_efficiency,0.05508474576271187,1623.2949249654544
launch_cost_gbp_per_kg,948.4745762711865,end_to_end_efficiency,0.05508474576271187,1731.2531646059263
launch_cost_gbp_per_kg,1032.8813559322034,end_to_end_efficiency,0.05508474576271187,1839.2114042463977
launch_cost_gbp_per_kg,1117.2881355932204,end_to_end_efficiency,0.05508474576271187,1947.1696438868698
launch_cost_gbp_per_kg,1201.6949152542375,end_to_end_efficiency,0.05508474576271187,2055.1278835273415
launch_cost_gbp_per_kg,1286.1016949152543,end_to_end_efficiency,0.05508474576271187,2163.086123167813
launch_cost_gbp_per_kg,1370.5084745762713,end_to_end_efficiency,0.05508474576271187,2271.044362808285
launch_cost_gbp_per_kg,1454.9152542372883,end_to_end_efficiency,0.05508474576271187,2379.0026024487565
launch_cost_gbp_per_kg,1539.322033898305,end_to_end_efficiency,0.05508474576271187,2486.9608420892287
launch_cost_gbp_per_kg,1623.7288135593221,end_to_end_efficiency,0.05508474576271187,2594.9190817297003
launch_cost_gbp_per_kg,1708.1355932203392,end_to_end_efficiency,0.05508474576271187,2702.877321370172
launch_cost_gbp_per_kg,1792.542372881356,end_to_end_efficiency,0.05508474576271187,2810.8355610106437
launch_cost_gbp_per_kg,1876.949152542373,end_to_end_efficiency,0.05508474576271187,2918.793800651116
launch_cost_gbp_per_kg,1961.35593220339,end_to_end_efficiency,0.05508474576271187,3026.752040291588
launch_cost_gbp_per_kg,2045.7627118644068,end_to_end_efficiency,0.05508474576271187,3134.710279932059
launch_cost_gbp_per_kg,2130.169491525424,end_to_end_efficiency,0.05508474576271187,3242.668519572531
launch_cost_gbp_per_kg,2214.576271186441,end_to_end_efficiency,0.05508474576271187,3350.626759213003
launch_cost_gbp_per_kg,2298.983050847458,end_to_end_efficiency,0.05508474576271187,3458.584998853475
launch_cost_gbp_per_kg,2383.389830508475,end_to_end_efficiency,0.05508474576271187,3566.5432384939463
launch_cost_gbp_per_kg,2467.7966101694915,end_to_end_efficiency,0.05508474576271187,3674.501478134418
launch_cost_gbp_per_kg,2552.2033898305085,end_to_end_efficiency,0.05508474576271187,3782.4597177748897
launch_cost_gbp_per_kg,2636.6101694915255,end_to_end_efficiency,0.05508474576271187,3890.4179574153627
launch_cost_gbp_per_kg,2721.0169491525426,end_to_end_efficiency,0.05508474576271187,3998.3761970558344
launch_cost_gbp_per_kg,2805.4237288135596,end_to_end_efficiency,0.05508474576271187,4106.334436696306
launch_cost_gbp_per_kg,2889.8305084745766,end_to_end_efficiency,0.05508474576271187,4214.292676336778
launch_cost_gbp_per_kg,2974.2372881355936,end_to_end_efficiency,0.05508474576271187,4322.25091597725
launch_cost_gbp_per_kg,3058.64406779661,end_to_end_efficiency,0.05508474576271187,4430.20915561772
launch_cost_gbp_per_kg,3143.0508474576272,end_to_end_efficiency,0.05508474576271187,4538.167395258192
launch_cost_gbp_per_kg,3227.4576271186443,end_to_end_efficiency,0.05508474576271187,4646.125634898664
launch_cost_gbp_per_kg,3311.8644067796613,end_to_end_efficiency,0.05508474576271187,4754.083874539136
launch_cost_gbp_per_kg,3396.2711864406783,end_to_end_efficiency,0.05508474576271187,4862.04211417961
launch_cost_gbp_per_kg,3480.6779661016953,end_to_end_efficiency,0.05508474576271187,4970.000353820081
launch_cost_gbp_per_kg,3565.084745762712,end_to_end_efficiency,0.05508474576271187,5077.958593460552
launch_cost_gbp_per_kg,3649.491525423729,end_to_end_efficiency,0.05508474576271187,5185.916833101023
launch_cost_gbp_per_kg,3733.898305084746,end_to_end_efficiency,0.05508474576271187,5293.875072741496
launch_cost_gbp_per_kg,3818.305084745763,end_to_end_efficiency,0.05508474576271187,5401.833312381967
launch_cost_gbp_per_kg,3902.71186440678,end_to_end_efficiency,0.05508474576271187,5509.79155202244
launch_cost_gbp_per_kg,3987.118644067797,end_to_end_efficiency,0.05508474576271187,5617.74979166291
launch_cost_gbp_per_kg,4071.5254237288136,end_to_end_efficiency,0.05508474576271187,5725.708031303381
launch_cost_gbp_per_kg,4155.932203389831,end_to_end_efficiency,0.05508474576271187,5833.666270943854
launch_cost_gbp_per_kg,4240.338983050848,end_to_end_efficiency,0.05508474576271187,5941.624510584325
launch_cost_gbp_per_kg,4324.745762711865,end_to_end_efficiency,0.05508474576271187,6049.5827502247985
launch_cost_gbp_per_kg,4409.152542372882,end_to_end_efficiency,0.05508474576271187,6157.540989865269
launch_cost_gbp_per_kg,4493.559322033899,end_to_end_efficiency,0.05508474576271187,6265.499229505742
launch_cost_gbp_per_kg,4577.966101694916,end_to_end_efficiency,0.05508474576271187,6373.457469146214
launch_cost_gbp_per_kg,4662.372881355933,end_to_end_efficiency,0.05508474576271187,6481.415708786686
launch_cost_gbp_per_kg,4746.77966101695,end_to_end_efficiency,0.05508474576271187,6589.373948427156
launch_cost_gbp_per_kg,4831.186440677967,end_to_end_efficiency,0.05508474576271187,6697.33218806763
launch_cost_gbp_per_kg,4915.593220338983,end_to_end_efficiency,0.05508474576271187,6805.2904277081
launch_cost_gbp_per_kg,5000.0,end_to_end_efficiency,0.05508474576271187,6913.248667348571
launch_cost_gbp_per_kg,20.0,end_to_end_efficiency,0.06016949152542373,498.31620787024116
launch_cost_gbp_per_kg,104.40677966101696,end_to_end_efficiency,0.06016949152542373,597.1512159917999
launch_cost_gbp_per_kg,188.8135593220339,end_to_end_efficiency,0.06016949152542373,695.9862241133586
launch_cost_gbp_per_kg,273.22033898305085,end_to_end_efficiency,0.06016949152542373,794.8212322349173
launch_cost_gbp_per_kg,357.6271186440678,end_to_end_efficiency,0.06016949152542373,893.6562403564759
launch_cost_gbp_per_kg,442.0338983050848,end_to_end_efficiency,0.06016949152542373,992.4912484780348
launch_cost_gbp_per_kg,526.4406779661017,end_to_end_efficiency,0.06016949152542373,1091.3262565995933
launch_cost_gbp_per_kg,610.8474576271187,end_to_end_efficiency,0.06016949152542373,1190.1612647211518
launch_cost_gbp_per_kg,695.2542372881356,end_to_end_efficiency,0.06016949152542373,1288.9962728427108
launch_cost_gbp_per_kg,779.6610169491526,end_to_end_efficiency,0.06016949152542373,1387.8312809642694
launch_cost_gbp_per_kg,864.0677966101696,end_to_end_efficiency,0.06016949152542373,1486.666289085828
launch_cost_gbp_per_kg,948.4745762711865,end_to_end_efficiency,0.06016949152542373,1585.5012972073866
launch_cost_gbp_per_kg,1032.8813559322034,end_to_end_efficiency,0.06016949152542373,1684.3363053289452
launch_cost_gbp_per_kg,1117.2881355932204,end_to_end_efficiency,0.06016949152542373,1783.1713134505042
launch_cost_gbp_per_kg,1201.6949152542375,end_to_end_efficiency,0.06016949152542373,1882.006321572063
launch_cost_gbp_per_kg,1286.1016949152543,end_to_end_efficiency,0.06016949152542373,1980.8413296936214
launch_cost_gbp_per_kg,1370.5084745762713,end_to_end_efficiency,0.06016949152542373,2079.67633781518
launch_cost_gbp_per_kg,1454.9152542372883,end_to_end_efficiency,0.06016949152542373,2178.511345936739
launch_cost_gbp_per_kg,1539.322033898305,end_to_end_efficiency,0.06016949152542373,2277.346354058297
launch_cost_gbp_per_kg,1623.7288135593221,end_to_end_efficiency,0.06016949152542373,2376.1813621798565
launch_cost_gbp_per_kg,1708.1355932203392,end_to_end_efficiency,0.06016949152542373,2475.016370301415
launch_cost_gbp_per_kg,1792.542372881356,end_to_end_efficiency,0.06016949152542373,2573.851378422974
launch_cost_gbp_per_kg,1876.949152542373,end_to_end_efficiency,0.06016949152542373,2672.6863865445325
launch_cost_gbp_per_kg,1961.35593220339,end_to_end_efficiency,0.06016949152542373,2771.5213946660915
launch_cost_gbp_per_kg,2045.7627118644068,end_to_end_efficiency,0.06016949152542373,2870.35640278765
launch_cost_gbp_per_kg,2130.169491525424,end_to_end_efficiency,0.06016949152542373,2969.191410909208
launch_cost_gbp_per_kg,2214.576271186441,end_to_end_efficiency,0.06016949152542373,3068.026419030767
launch_cost_gbp_per_kg,2298.983050847458,end_to_end_efficiency,0.06016949152542373,3166.861427152326
launch_cost_gbp_per_kg,2383.389830508475,end_to_end_efficiency,0.06016949152542373,3265.696435273885
launch_cost_gbp_per_kg,2467.7966101694915,end_to_end_efficiency,0.06016949152542373,3364.5314433954427
launch_cost_gbp_per_kg,2552.2033898305085,end_to_end_efficiency,0.06016949152542373,3463.3664515170017
launch_cost_gbp_per_kg,2636.6101694915255,end_to_end_efficiency,0.06016949152542373,3562.20145963856
launch_cost_gbp_per_kg,2721.0169491525426,end_to_end_efficiency,0.06016949152542373,3661.0364677601183
launch_cost_gbp_per_kg,2805.4237288135596,end_to_end_efficiency,0.06016949152542373,3759.871475881678
launch_cost_gbp_per_kg,2889.8305084745766,end_to_end_efficiency,0.06016949152542373,3858.706484003237
launch_cost_gbp_per_kg,2974.2372881355936,end_to_end_efficiency,0.06016949152542373,3957.5414921247957
launch_cost_gbp_per_kg,3058.64406779661,end_to_end_efficiency,0.06016949152542373,4056.376500246354
launch_cost_gbp_per_kg,3143.0508474576272,end_to_end_efficiency,0.06016949152542373,4155.211508367913
launch_cost_gbp_per_kg,3227.4576271186443,end_to_end_efficiency,0.06016949152542373,4254.046516489472
launch_cost_gbp_per_kg,3311.8644067796613,end_to_end_efficiency,0.06016949152542373,4352.88152461103
launch_cost_gbp_per_kg,3396.2711864406783,end_to_end_efficiency,0.06016949152542373,4451.716532732589
launch_cost_gbp_per_kg,3480.6779661016953,end_to_end_efficiency,0.06016949152542373,4550.551540854148
launch_cost_gbp_per_kg,3565.084745762712,end_to_end_efficiency,0.06016949152542373,4649.386548975707
launch_cost_gbp_per_kg,3649.491525423729,end_to_end_efficiency,0.06016949152542373,4748.221557097264
launch_cost_gbp_per_kg,3733.898305084746,end_to_end_efficiency,0.06016949152542373,4847.056565218823
launch_cost_gbp_per_kg,3818.305084745763,end_to_end_efficiency,0.06016949152542373,4945.891573340383
launch_cost_gbp_per_kg,3902.71186440678,end_to_end_efficiency,0.06016949152542373,5044.72658146194
launch_cost_gbp_per_kg,3987.118644067797,end_to_end_efficiency,0.06016949152542373,5143.5615895835
launch_cost_gbp_per_kg,4071.5254237288136,end_to_end_efficiency,0.06016949152542373,5242.396597705058
launch_cost_gbp_per_kg,4155.932203389831,end_to_end_efficiency,0.06016949152542373,5341.231605826617
launch_cost_gbp_per_kg,4240.338983050848,end_to_end_efficiency,0.06016949152542373,5440.0666139481755
launch_cost_gbp_per_kg,4324.745762711865,end_to_end_efficiency,0.06016949152542373,5538.901622069735
launch_cost_gbp_per_kg,4409.152542372882,end_to_end_efficiency,0.06016949152542373,5637.736630191294
launch_cost_gbp_per_kg,4493.559322033899,end_to_end_efficiency,0.06016949152542373,5736.571638312851
launch_cost_gbp_per_kg,4577.966101694916,end_to_end_efficiency,0.06016949152542373,5835.406646434411
launch_cost_gbp_per_kg,4662.372881355933,end_to_end_efficiency,0.06016949152542373,5934.24165455597
launch_cost_gbp_per_kg,4746.77966101695,end_to_end_efficiency,0.06016949152542373,6033.0766626775285
launch_cost_gbp_per_kg,4831.186440677967,end_to_end_efficiency,0.06016949152542373,6131.911670799088
launch_cost_gbp_per_kg,4915.593220338983,end_to_end_efficiency,0.06016949152542373,6230.7466789206455
launch_cost_gbp_per_kg,5000.0,end_to_end_efficiency,0.06016949152542373,6329.581687042203
launch_cost_gbp_per_kg,20.0,end_to_end_efficiency,0.06525423728813559,459.99463845618675
launch_cost_gbp_per_kg,104.40677966101696,end_to_end_efficiency,0.06525423728813559,551.1282173734681
