parameter,display_name,unit,value,lcoe_gbp_per_mwh
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.35,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.35250000000000004,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.355,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.35750000000000004,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.36,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.36250000000000004,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.365,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.36750000000000005,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.37,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.37250000000000005,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.375,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.3775,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.38,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.3825,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.385,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.3875,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.39,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.3925,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.395,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.3975,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.4,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.4025,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.405,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.40750000000000003,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.41000000000000003,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.4125,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.41500000000000004,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.4175,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.42000000000000004,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.4225,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.42500000000000004,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.4275,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.43000000000000005,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.4325,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.43500000000000005,86.02973399903817
solar_conversion_efficiency,Solar-to-DC conversion efficiency,fraction,0.4375,86.02973399903817
